filename;wer;ground_truth;truthReduced;hypothesis;hypothesisReduced;time;audio_length
2015-02-10-14-28-29;0.07142857142857142;Entschädigungsregelung für die Mitglieder der Prüfungsausschüsse und deren Stellvertreter“ der zuständigen Stelle zu zahlen.;entschaedigungsregelung fuer die mitglieder der pruefungsausschuesse und deren stellvertreter der zustaendigen stelle zu zahlen;Entschädigungsregelungen für die Mitglieder der Prüfungsausschüsse und deren Stellvertreter der zuständigen Stelle zu zahlen;entschaedigungsregelungen fuer die mitglieder der pruefungsausschuesse und deren stellvertreter der zustaendigen stelle zu zahlen;6.300435543060303;9.29
2015-01-27-14-31-34;0.0;Müssen wir denn wirklich jeden Dreck übernehmen, der aus Amerika kommt?;muessen wir denn wirklich jeden dreck uebernehmen der aus amerika kommt;müssen wir denn wirklich jeden Dreck übernehmen der aus Amerika kommt;muessen wir denn wirklich jeden dreck uebernehmen der aus amerika kommt;5.134393215179443;5.31
2015-01-27-13-42-16;0.15789473684210525;Rein visuell ist dem Film anzumerken , dass Regisseur Russell Mulcahy bis dahin vor allem durch Musikvideos Bekanntheit erlangt hatte .;rein visuell ist dem film anzumerken dass regisseur russell mulcahy bis dahin vor allem durch musikvideos bekanntheit erlangt hatte;ein visuell ist im Film anzumerken dass Regisseur Mussel Mulcahy bis dahin vor allem durch Musikvideos Bekanntheit erlangt hatte;ein visuell ist im film anzumerken dass regisseur mussel mulcahy bis dahin vor allem durch musikvideos bekanntheit erlangt hatte;7.705517053604126;8.8
2015-02-03-12-19-45;0.0;Diese Legende war einst als Gemäldezyklus auf der nördlichen Seitenwand zu sehen .;diese legende war einst als gemaeldezyklus auf der noerdlichen seitenwand zu sehen;diese Legende war einst als Gemäldezyklus auf der nördlichen Seitenwand zu sehen;diese legende war einst als gemaeldezyklus auf der noerdlichen seitenwand zu sehen;3.494823455810547;5.64
2015-01-28-11-53-29;0.15384615384615385;Kritik wurde am Hörverstehensteil geäußert, der mit einem Fünftel der Prüfungsleistung angerechnet wird.;kritik wurde am hoerverstehensteil geaeussert der mit einem fuenftel der pruefungsleistung angerechnet wird;Kritik wurde am Hörverstehen Style geäußert der mit einem Fünftel der Prüfungsleistung angerechnet wird;kritik wurde am hoerverstehen style geaeussert der mit einem fuenftel der pruefungsleistung angerechnet wird;5.096604585647583;7.989688
2015-02-09-12-05-10;0.05;Wir reden mit so vielen Menschen in all diesen Ländern und auf all diesen Konferenzen und sie halten großartige Reden;wir reden mit so vielen menschen in all diesen laendern und auf all diesen konferenzen und sie halten grossartige reden;wir werden mit so vielen Menschen in all diesen Ländern und auf all diesen Konferenzen und sie halten großartige Reden;wir werden mit so vielen menschen in all diesen laendern und auf all diesen konferenzen und sie halten grossartige reden;4.3690149784088135;7.879688
2015-01-27-14-34-35;0.0625;Das ist aus sachlichen Grünen insofern zu korrigieren, als das auch eine Bitte des Parlaments war.;das ist aus sachlichen gruenen insofern zu korrigieren als das auch eine bitte des parlaments war;das ist aus sachlichen Grünen insofern zu korrigieren als das doch eine Bitte des Parlaments war;das ist aus sachlichen gruenen insofern zu korrigieren als das doch eine bitte des parlaments war;5.554686784744263;7.24
2015-02-10-13-49-11;0.07272727272727272;Im Ergebnis dieser Sendung und als das für personelle und verwaltungstechnische Angelegenheiten zuständige Kommissionsmitglied war ich verpflichtet, Frau Gradin und Herrn Asp schriftlich um eine Bestätigung und Erläuterung der Verlautbarungen zu bitten, damit die Kommission entscheiden konnte, ob die fraglichen Äußerungen Maßnahmen seitens der Kommission erfordern oder nicht. Das habe ich am 22. November getan.;im ergebnis dieser sendung und als das fuer personelle und verwaltungstechnische angelegenheiten zustaendige kommissionsmitglied war ich verpflichtet frau gradin und herrn asp schriftlich um eine bestaetigung und erlaeuterung der verlautbarungen zu bitten damit die kommission entscheiden konnte ob die fraglichen aeusserungen massnahmen seitens der kommission erfordern oder nicht das habe ich am 22 november getan;im Ergebnis dieser Sendung und als das für personelle und verwaltungstechnische Angelegenheiten zuständig Kommissionsmitglied war ich verpflichtet Frau Gradin und Herrn Asp schriftlich um eine Bestätigung und Erläuterung der Fallout Baron zu bitten damit die Kommission entscheiden konnte ob die fraglichen Änderungen Maßnahmen seitens der Kommission erfordern oder nicht das habe ich am zwei und zwanzigsten November getan;im ergebnis dieser sendung und als das fuer personelle und verwaltungstechnische angelegenheiten zustaendig kommissionsmitglied war ich verpflichtet frau gradin und herrn asp schriftlich um eine bestaetigung und erlaeuterung der fallout baron zu bitten damit die kommission entscheiden konnte ob die fraglichen aenderungen massnahmen seitens der kommission erfordern oder nicht das habe ich am 22 november getan;18.16888976097107;31.64
2015-02-10-11-45-28;0.045454545454545456;Je enger das Korsett Schule geschnürt wird, wie etwa durch die verkürzte gymnasiale Oberstufe G8, desto mehr Kinder bleiben auf der Strecke.;je enger das korsett schule geschnuert wird wie etwa durch die verkuerzte gymnasiale oberstufe g8 desto mehr kinder bleiben auf der strecke;je enger das Korsett Schule geschnürt wird wie etwa durch die verkürzte gymnasiale Oberstufe Gacht desto mehr Kinder bleiben auf der Strecke;je enger das korsett schule geschnuert wird wie etwa durch die verkuerzte gymnasiale oberstufe gacht desto mehr kinder bleiben auf der strecke;4.1772847175598145;8.17
2015-02-04-14-06-53;0.16666666666666666;Beim Gebirgsort wird mit einer jährlichen Niederschlagsmenge von über 4500 mm sogar der höchste Wert in Europa gemessen .;beim gebirgsort wird mit einer jaehrlichen niederschlagsmenge von ueber 4500 mm sogar der hoechste wert in europa gemessen;beim Gebirgs Ort wird mit einer jährlichen Niederschlagsmenge von über viertausendfünfhundert Millimeter sogar der höchste Wert in Europa gemessen;beim gebirgs ort wird mit einer jaehrlichen niederschlagsmenge von ueber 4500 millimeter sogar der hoechste wert in europa gemessen;4.908509016036987;9.08
