filename;wer;ground_truth;truthReduced;hypothesis;hypothesisReduced;time;audio_length
2015-02-10-11-37-02;0.05555555555555555;Gilad Schalit besitzt sowohl die israelische als auch die französische Staatsangehörigkeit , da sein Vater Noam aus Frankreich stammt .;gilad schalit besitzt sowohl die israelische als auch die franzoesische staatsangehoerigkeit da sein vater noam aus frankreich stammt; Gilad Chalid besitzt sowohl die israelische als auch die französische Staatsangehörigkeit, da sein Vater Noam aus Frankreich stammt.;gilad chalid besitzt sowohl die israelische als auch die franzoesische staatsangehoerigkeit da sein vater noam aus frankreich stammt;2.4390156269073486;8.66
2015-02-03-12-14-57;0.0;Darum kaufen sie auch keines;darum kaufen sie auch keines; Darum kaufen sie auch keines.;darum kaufen sie auch keines;0.9094498157501221;3.04
2015-02-10-11-45-11;0.0;Letzten Endes liegt die Antwort auf diese sehr schwierige und provokative Situation im Dialog.;letzten endes liegt die antwort auf diese sehr schwierige und provokative situation im dialog; Letzten Endes liegt die Antwort auf diese sehr schwierige und provokative Situation im Dialog.;letzten endes liegt die antwort auf diese sehr schwierige und provokative situation im dialog;1.52360200881958;5.88
2015-02-03-13-15-48;0.0;Mit ihrem Spürsinn haben die Zöllnerinnen und Zöllner in Leipzig den international operierenden organisierten Drogenschmugglern einen empfindlichen Schlag versetzt;mit ihrem spuersinn haben die zoellnerinnen und zoellner in leipzig den international operierenden organisierten drogenschmugglern einen empfindlichen schlag versetzt; Mit ihrem Spürsinn haben die Zöllnerinnen und Zöllner in Leipzig den international operierenden organisierten Drogenschmugglern einen empfindlichen Schlag versetzt.;mit ihrem spuersinn haben die zoellnerinnen und zoellner in leipzig den international operierenden organisierten drogenschmugglern einen empfindlichen schlag versetzt;2.6472702026367188;10.67
2015-02-09-12-44-08;0.06382978723404255;Informationen für die Rechtewahrnehmung im Sinne dieses Gesetzes sind elektronische Informationen, die Werke oder andere Schutzgegenstände, den Urheber oder jeden anderen Rechtsinhaber identifizieren, Informationen über die Modalitäten und Bedingungen für die Nutzung der Werke oder Schutzgegenstände sowie die Zahlen und Codes, durch die derartige Informationen ausgedrückt werden.;informationen fuer die rechtewahrnehmung im sinne dieses gesetzes sind elektronische informationen die werke oder andere schutzgegenstaende den urheber oder jeden anderen rechtsinhaber identifizieren informationen ueber die modalitaeten und bedingungen fuer die nutzung der werke oder schutzgegenstaende sowie die zahlen und codes durch die derartige informationen ausgedrueckt werden; Informationen für die rechte Wahrnehmung im Sinne dieses Gesetzes sind elektronische Informationen, die Werke oder andere Schutzgegenstände den Urheber oder jeden anderen Rechtsinhaber identifizieren, Informationen über die Modalitäten und Bedingungen für die Nutzung der Werke oder Schutzgegenstände sowie die Zahlen und Codes durch die derartige Information ausgedrückt werden.;informationen fuer die rechte wahrnehmung im sinne dieses gesetzes sind elektronische informationen die werke oder andere schutzgegenstaende den urheber oder jeden anderen rechtsinhaber identifizieren informationen ueber die modalitaeten und bedingungen fuer die nutzung der werke oder schutzgegenstaende sowie die zahlen und codes durch die derartige information ausgedrueckt werden;6.712991714477539;23.289688
2015-02-03-13-18-40;0.0;Grüß Gott ihr Mütter ihr Väter ihr Töchter ihr Söhne;gruess gott ihr muetter ihr vaeter ihr toechter ihr soehne; Grüß Gott, ihr Mütter, ihr Väter, ihr Töchter, ihr Söhne.;gruess gott ihr muetter ihr vaeter ihr toechter ihr soehne;1.8406071662902832;5.359688
2015-02-04-14-07-23;0.0;Das Programm wurde aus Budgetknappheit eingestellt .;das programm wurde aus budgetknappheit eingestellt; Das Programm wurde aus Budgetknappheit eingestellt.;das programm wurde aus budgetknappheit eingestellt;1.1246182918548584;4.08
2015-02-03-13-10-06;0.11764705882352941;Diese können je nach Auftrag mit Zubehör , zum Beispiel dem Anbaugranatwerfer M203 für das Sturmgewehr , ergänzt werden .;diese koennen je nach auftrag mit zubehoer zum beispiel dem anbaugranatwerfer m203 fuer das sturmgewehr ergaenzt werden; Diese können je nach Auftrag mit Zubehör zum Beispiel dem Anbau Granatenwerfer M203 für das Sturmgewehr ergänzt werden.;diese koennen je nach auftrag mit zubehoer zum beispiel dem anbau granatenwerfer m203 fuer das sturmgewehr ergaenzt werden;2.1304142475128174;8.899688
2015-02-10-13-42-55;0.1111111111111111;Problematisch erscheinen Erlebensmodi auch , welche hinsichtlich der Situation bzw .;problematisch erscheinen erlebensmodi auch welche hinsichtlich der situation bzw; Problematisch erscheinende Erlebensmodi auch welche hinsichtlich der Situation bzw.;problematisch erscheinende erlebensmodi auch welche hinsichtlich der situation bzw;1.5487818717956543;10.03
2015-02-10-13-37-03;0.0;Eindeutig ein Gericht der Sieger;eindeutig ein gericht der sieger; Eindeutig ein Gericht der Sieger!;eindeutig ein gericht der sieger;1.067188024520874;3.35
