filename;wer;ground_truth;truthReduced;hypothesis;hypothesisReduced;time;audio_length
2015-02-09-12-17-29;0.09090909090909091;Die Krone Sardiniens erhielt schließlich über einige Umwege das Haus Savoyen .;die krone sardiniens erhielt schliesslich ueber einige umwege das haus savoyen;Die Krone Sadiniens erhielt schließlich über einige Umwege das Haus Savoyen ;die krone sadiniens erhielt schliesslich ueber einige umwege das haus savoyen;3.678577184677124;7.449688
2015-02-03-13-09-42;0.0;Sie soll verhindern, dass während der Erwerbstätigkeit bewusst auf Altersvorsorge verzichtet wird, im Alter aber staatliche Leistungen in Anspruch genommen werden.;sie soll verhindern dass waehrend der erwerbstaetigkeit bewusst auf altersvorsorge verzichtet wird im alter aber staatliche leistungen in anspruch genommen werden;Sie soll verhindern dass während der Erwerbstätigkeit bewusst auf Altersvorsorge verzichtet wird im Alter aber staatliche Leistungen in Anspruch genommen werden ;sie soll verhindern dass waehrend der erwerbstaetigkeit bewusst auf altersvorsorge verzichtet wird im alter aber staatliche leistungen in anspruch genommen werden;2.180598497390747;9.46
2015-01-27-12-45-11;0.8333333333333334;Hinter der Bühne befinden sich Künstlergarderoben .;hinter der buehne befinden sich kuenstlergarderoben;Hindert der Böhne befindet sich Künstler Garderoben ;hindert der boehne befindet sich kuenstler garderoben;1.4080824851989746;4.32
2015-01-27-13-44-10;0.07142857142857142;Jedenfalls sind die gewählten Vertreter die einzigen, die sich vor den Bürger erklären müssen!;jedenfalls sind die gewaehlten vertreter die einzigen die sich vor den buerger erklaeren muessen;Jedenfalls sind die gewählten Vertreter die einzigen die sich vor den Bürgern erklären müssen ;jedenfalls sind die gewaehlten vertreter die einzigen die sich vor den buergern erklaeren muessen;1.6708743572235107;5.74
2015-02-03-12-18-32;0.0425531914893617;Ein Teil meiner Fraktion stellt sich auf den Standpunkt, dass wir, gerade weil wir diese Erweiterung so nachdrücklich befürworten, umso kritischer sein und prüfen müssten, inwieweit die Länder zu Beginn des Beitrittsprozesses die Bedingungen auch tatsächlich erfüllen, damit weder die EU noch ihre Erweiterungsstrategie an Glaubwürdigkeit verlieren.;ein teil meiner fraktion stellt sich auf den standpunkt dass wir gerade weil wir diese erweiterung so nachdruecklich befuerworten umso kritischer sein und pruefen muessten inwieweit die laender zu beginn des beitrittsprozesses die bedingungen auch tatsaechlich erfuellen damit weder die eu noch ihre erweiterungsstrategie an glaubwuerdigkeit verlieren;Ein Teil meiner Fraktion stellt sich auf den Standpunkt dass wir gerade weil wir diese Erweiterung so nachdrücklich befürworten um so kritischer sein und prüfen müssten inwieweit die Länder zu Beginn des Beitrittsprozesses die Bedingungen auch tatsächlich erfüllen damit weder die EU noch ihre Erweiterungsstrategie an Glaubwürdigkeit verlieren ;ein teil meiner fraktion stellt sich auf den standpunkt dass wir gerade weil wir diese erweiterung so nachdruecklich befuerworten um so kritischer sein und pruefen muessten inwieweit die laender zu beginn des beitrittsprozesses die bedingungen auch tatsaechlich erfuellen damit weder die eu noch ihre erweiterungsstrategie an glaubwuerdigkeit verlieren;3.926447868347168;19.11
2015-02-10-13-36-01;0.2857142857142857;Man rechnete mit so vielen Opfern , dass in amerikanischen Fabriken über 500.000 Purple Heart Verwundetenabzeichen schon im Vorfeld hergestellt worden waren .;man rechnete mit so vielen opfern dass in amerikanischen fabriken ueber 500000 purple heart verwundetenabzeichen schon im vorfeld hergestellt worden waren;Man rechnet mit so vielen Opfer dass in amerikanischen Fabriken über fünfhunderttausend Purple hart verwundeten Abzeichen schon im Vorfeld hergestellt worden waren ;man rechnet mit so vielen opfer dass in amerikanischen fabriken ueber fuenfhunderttausend purple hart verwundeten abzeichen schon im vorfeld hergestellt worden waren;2.98919677734375;14.01
2015-02-10-11-38-07;0.19230769230769232;Einzig Schalke 04 war ab Mitte der 1990er in der Lage , es der Borussia nachzumachen und den Club Stück für Stück in ein erfolgreiches Wirtschaftsunternehmen umzubauen .;einzig schalke 04 war ab mitte der 1990er in der lage es der borussia nachzumachen und den club stueck fuer stueck in ein erfolgreiches wirtschaftsunternehmen umzubauen;Einzig Schalke null vier war ab Mitte der neunzehnhundertneunziger in der Lage ist der Berufsjahr nachzumachen und den Club Stück für Stück in ein erfolgreiches Wirtschaftsunternehmen umzubauen ;einzig schalke 0 4 war ab mitte der neunzehnhundertneunziger in der lage ist der berufsjahr nachzumachen und den club stueck fuer stueck in ein erfolgreiches wirtschaftsunternehmen umzubauen;2.250598907470703;10.04
2015-02-10-11-35-19;0.0;Man hat keine Konkurrenz und wird nicht arbeitslos.;man hat keine konkurrenz und wird nicht arbeitslos;Man hat keine Konkurrenz und wird nicht arbeitslos ;man hat keine konkurrenz und wird nicht arbeitslos;1.1625652313232422;3.77
2015-02-10-11-33-01;0.0;Der Bericht befürwortet die Idee des Beitrags zur Gesellschaft, die sowohl auf theoretischer als auch auf praktischer Ebene umfassend und objektiv behandelt wird.;der bericht befuerwortet die idee des beitrags zur gesellschaft die sowohl auf theoretischer als auch auf praktischer ebene umfassend und objektiv behandelt wird;Der Bericht befürwortet die Idee des Beitrags zur Gesellschaft die sowohl auf theoretischer als auch auf praktischer Ebene umfassend und objektiv behandelt wird ;der bericht befuerwortet die idee des beitrags zur gesellschaft die sowohl auf theoretischer als auch auf praktischer ebene umfassend und objektiv behandelt wird;2.382213592529297;9.059688
2015-02-04-14-01-06;0.6;"Der Wahlbezirk um den Flughafen heißt Division of Kingsford Smith und beinhaltet die Vorstadt "" Kingsford "" .";der wahlbezirk um den flughafen heisst division of kingsford smith und beinhaltet die vorstadt kingsford;Der Wahlbezirk um den Flughafen heißt die Vision auf Kings fort Smith und und beinhaltet die Vorstand Kings fort ;der wahlbezirk um den flughafen heisst die vision auf kings fort smith und und beinhaltet die vorstand kings fort;2.080749273300171;8.72
