filename;wer;ground_truth;truthReduced;hypothesis;hypothesisReduced;time;audio_length
2015-02-10-12-36-07;0.0;Hierbei ist das Parlament ein Verbündeter der Europäischen Kommission, und nicht der Rat.;hierbei ist das parlament ein verbuendeter der europaeischen kommission und nicht der rat;Hierbei ist das Parlament ein Verbündeter der Europäischen Kommission und nicht der Rat.;hierbei ist das parlament ein verbuendeter der europaeischen kommission und nicht der rat;2.2817771434783936;5.57
2015-02-10-12-35-08;0.0;Die Agenda 2010 ist aus meiner Sicht;die agenda 2010 ist aus meiner sicht;Die Agenda 2010 ist aus meiner Sicht.;die agenda 2010 ist aus meiner sicht;1.3197622299194336;4.25
2015-02-09-12-05-44;0.1388888888888889;Dies beinhaltet die Abschaffung der Mehrwertsteuereigenmittel, die die gerechte Verteilung der Beiträge unter den Mitgliedstaaten und die Umsetzung einer der von der Kommission befürworteten Maßnahmen, d.h. die Einbeziehung der Steuer auf Kapitalvermögen in die Eigenmittel, beinträchtigen.;dies beinhaltet die abschaffung der mehrwertsteuereigenmittel die die gerechte verteilung der beitraege unter den mitgliedstaaten und die umsetzung einer der von der kommission befuerworteten massnahmen dh die einbeziehung der steuer auf kapitalvermoegen in die eigenmittel beintraechtigen;Dies beinhaltet die Abschaffung der Mehrwertsteuer, Eigenmittel, die die gerechte Verteilung der Beiträge unter den Mitgliedstaaten und die Umsetzung einer der von der Kommission befürworteten Maßnahmen, das heißt die Einbeziehung der Steuer auf Kapitalvermögen in die Eigenmittel beeinträchtigen.;dies beinhaltet die abschaffung der mehrwertsteuer eigenmittel die die gerechte verteilung der beitraege unter den mitgliedstaaten und die umsetzung einer der von der kommission befuerworteten massnahmen das heisst die einbeziehung der steuer auf kapitalvermoegen in die eigenmittel beeintraechtigen;4.316322088241577;18.489688
2015-02-04-14-13-29;0.07407407407407407;Dieser an der Nordostspitze der Insel liegende Hafen war aber sehr klein , allenfalls konnten nur zwei Landefahrzeuge gleichzeitig anlegen und Truppen ausschiffen , und wurde zudem gut überwacht .;dieser an der nordostspitze der insel liegende hafen war aber sehr klein allenfalls konnten nur 2 landefahrzeuge gleichzeitig anlegen und truppen ausschiffen und wurde zudem gut ueberwacht;Dieser an der Nordostspitze der Insel liegende Hafen war aber sehr klein, allenfalls konnten nur 2 Landfahrzeuge gleichzeitig anlegen und Truppen ausschöpfen und wurde zudem gut überwacht.;dieser an der nordostspitze der insel liegende hafen war aber sehr klein allenfalls konnten nur 2 landfahrzeuge gleichzeitig anlegen und truppen ausschoepfen und wurde zudem gut ueberwacht;3.326810359954834;12.16
2015-02-10-11-37-02;0.05555555555555555;Gilad Schalit besitzt sowohl die israelische als auch die französische Staatsangehörigkeit , da sein Vater Noam aus Frankreich stammt .;gilad schalit besitzt sowohl die israelische als auch die franzoesische staatsangehoerigkeit da sein vater noam aus frankreich stammt;Gilad Shalit besitzt sowohl die israelische als auch die französische Staatsangehörigkeit, da sein Vater Noam aus Frankreich stammt.;gilad shalit besitzt sowohl die israelische als auch die franzoesische staatsangehoerigkeit da sein vater noam aus frankreich stammt;2.3885955810546875;8.66
2015-02-03-12-12-11;0.25;So unliebsam ein kurzfristiger Preisauftrieb durch Überschussliquidität ist, er regt natürlich eine Ausweitung der Produktion an;so unliebsam ein kurzfristiger preisauftrieb durch ueberschussliquiditaet ist er regt natuerlich eine ausweitung der produktion an;So Unliebsam eine kurzfristige Preisauftrieb durch Überschussliquidität ist, erregt natürlich eine Ausweitung der Produktion an.;so unliebsam eine kurzfristige preisauftrieb durch ueberschussliquiditaet ist erregt natuerlich eine ausweitung der produktion an;2.4823715686798096;8.999688
2015-01-27-13-33-32;0.06666666666666667;Da Waltrip zu diesem Zeitpunkt nahezu Bankrott war , verkaufte er das Team an Tim Beverly .;da waltrip zu diesem zeitpunkt nahezu bankrott war verkaufte er das team an tim beverly;Da Waltrip zu diesem Zeitpunkt nahezu bankrott war, verkaufte er das Team an Tim Beverley.;da waltrip zu diesem zeitpunkt nahezu bankrott war verkaufte er das team an tim beverley;2.103935956954956;7.6
2015-02-10-13-49-46;0.0;Juni 1888 durch den belgischen König Leopold II . feierlich eröffnet .;juni 1888 durch den belgischen koenig leopold ii feierlich eroeffnet;Juni 1888 durch den belgischen König Leopold II. Feierlich eröffnet.;juni 1888 durch den belgischen koenig leopold ii feierlich eroeffnet;2.1262662410736084;7.72
2015-02-03-13-11-24;0.0;Das war ein großes, mein gesamtes bisheriges Leben prägendes Erlebnis.;das war ein grosses mein gesamtes bisheriges leben praegendes erlebnis;Das war ein Großes, Mein gesamtes bisheriges Leben prägendes Erlebnis.;das war ein grosses mein gesamtes bisheriges leben praegendes erlebnis;1.7400414943695068;6.93
2015-01-27-14-34-35;0.1875;Das ist aus sachlichen Grünen insofern zu korrigieren, als das auch eine Bitte des Parlaments war.;das ist aus sachlichen gruenen insofern zu korrigieren als das auch eine bitte des parlaments war;Das ist aus sachlichen Gründen insofern zu korrigieren, als dass noch eine Bitte des Parlaments war.;das ist aus sachlichen gruenden insofern zu korrigieren als dass noch eine bitte des parlaments war;2.265218496322632;7.24
