filename;wer;ground_truth;truthReduced;hypothesis;hypothesisReduced;time;audio_length
2015-02-04-14-03-58;0.09090909090909091;Mit dem vorliegenden Vorschlag soll Abhilfe geschaffen werden, indem ein gemeinsamer Rahmen für die Erstellung, Übermittlung und Bewertung vergleichbarer Arbeitskostenindizes geschaffen wird.;mit dem vorliegenden vorschlag soll abhilfe geschaffen werden indem ein gemeinsamer rahmen fuer die erstellung uebermittlung und bewertung vergleichbarer arbeitskostenindizes geschaffen wird;Mit dem vorliegenden Vorschlag soll Abhilfe geschaffen werden, indem ein gemeinsamer Rahmen für die Erstellung Übermittlung und Bewertung vergleichbarer Arbeitskosten Indizes geschaffen wird.;mit dem vorliegenden vorschlag soll abhilfe geschaffen werden indem ein gemeinsamer rahmen fuer die erstellung uebermittlung und bewertung vergleichbarer arbeitskosten indizes geschaffen wird;18.952916860580444;10.77
2015-01-27-14-40-40;0.0;Die Kommission prüft sehr sorgfältig die Situation in jedem Mitgliedstaat, um festzustellen, welche Kontrollmaßnahmen als unberechtigt und unangemessen gelten könnten.;die kommission prueft sehr sorgfaeltig die situation in jedem mitgliedstaat um festzustellen welche kontrollmassnahmen als unberechtigt und unangemessen gelten koennten;Die Kommission prüft sehr sorgfältig die Situation in jedem Mitgliedstaat, um festzustellen, welche Kontrollmaßnahmen als unberechtigt und unangemessen gelten könnten.;die kommission prueft sehr sorgfaeltig die situation in jedem mitgliedstaat um festzustellen welche kontrollmassnahmen als unberechtigt und unangemessen gelten koennten;18.328466653823853;10.05
2015-02-10-12-34-17;0.14285714285714285;Die Plattner schmiedeten die für die Herstellung eines Harnisches nötigen Stahlplatten in der Regel nicht selbst , sondern kauften sie von Großschmieden .;die plattner schmiedeten die fuer die herstellung eines harnisches noetigen stahlplatten in der regel nicht selbst sondern kauften sie von grossschmieden;Die Plattner schmiedeten die für die Herstellung des eines Harnisches nötigen Stahlplatten in der Regel nicht selbst, sondern kauften sie von Groß Schmieden.;die plattner schmiedeten die fuer die herstellung des eines harnisches noetigen stahlplatten in der regel nicht selbst sondern kauften sie von gross schmieden;18.410967111587524;9.52
2015-01-27-13-36-10;0.125;Das hochmoderne Gebäude vergrößert die Bibliothek bis direkt an die Semmelweissstraße und schafft zusätzlich benötigten Platz .;das hochmoderne gebaeude vergroessert die bibliothek bis direkt an die semmelweissstrasse und schafft zusaetzlich benoetigten platz;Das hochmoderne Gebäude vergrößert die Bibliothek bis direkt an die Semmelweis Straße und schafft zusätzlich benötigten Platz.;das hochmoderne gebaeude vergroessert die bibliothek bis direkt an die semmelweis strasse und schafft zusaetzlich benoetigten platz;13.158247709274292;9.07
2015-02-04-14-14-17;0.0;Sie glaubten , der Kopf der Tiere sitze lose am Körper , weil sie diesen scheinbar 360 Grad drehen können , und fürchteten , wenn sie den Namen der Tiere aussprechen , drohe ihnen das gleiche Schicksal .;sie glaubten der kopf der tiere sitze lose am koerper weil sie diesen scheinbar 360 grad drehen koennen und fuerchteten wenn sie den namen der tiere aussprechen drohe ihnen das gleiche schicksal;Sie glaubten, der Kopf der Tiere sitze lose am Körper, weil sie diesen scheinbar 360 Grad drehen können und fürchteten, wenn sie den Namen der Tiere aussprechen, drohe ihnen das gleiche Schicksal.;sie glaubten der kopf der tiere sitze lose am koerper weil sie diesen scheinbar 360 grad drehen koennen und fuerchteten wenn sie den namen der tiere aussprechen drohe ihnen das gleiche schicksal;18.341892957687378;12.44
2015-02-03-13-00-15;0.09523809523809523;Da längere Patronen eine größere Treibladung aufnehmen , haben diese in der Regel eine höhere Energie und damit eine höhere zielballistische Wirkung .;da laengere patronen eine groessere treibladung aufnehmen haben diese in der regel eine hoehere energie und damit eine hoehere zielballistische wirkung;Da längere Patronen eine größere Treibladung aufnehmen, haben diese in der Regel eine höhere Energie und damit eine höhere Ziel ballistische Wirkung.;da laengere patronen eine groessere treibladung aufnehmen haben diese in der regel eine hoehere energie und damit eine hoehere ziel ballistische wirkung;18.2972252368927;11.04
2015-02-10-12-35-31;0.1111111111111111;Wann werden wir die Vorurteile bezüglich der Hautfarbe überwinden?;wann werden wir die vorurteile bezueglich der hautfarbe ueberwinden;Wann werden wir die Vorurteile bezüglich der Hauptfarbe überwinden?;wann werden wir die vorurteile bezueglich der hauptfarbe ueberwinden;13.015951871871948;5.12
2015-02-10-11-40-56;0.0;An Engstellen wird der Weg in steilen Kehren und als Fußpfad über Felsen geführt .;an engstellen wird der weg in steilen kehren und als fusspfad ueber felsen gefuehrt;an Engstellen wird der Weg in steilen Kehren und als Fusspfad über Felsen geführt.;an engstellen wird der weg in steilen kehren und als fusspfad ueber felsen gefuehrt;13.038787364959717;5.72
2015-01-27-13-49-51;0.15384615384615385;Danach wurde es an das Militär verpachtet , das aus dem Stift ein Pferdegestüt machte . 1816 wurde der Kreuzgang abgerissen , das Abbruchmaterial verwendete man für die Stallungen .;danach wurde es an das militaer verpachtet das aus dem stift ein pferdegestuet machte 1816 wurde der kreuzgang abgerissen das abbruchmaterial verwendete man fuer die stallungen;Danach wurde es an das Militär verpachtet, das aus dem Stift ein Pferde Gestüt machte, wurde der Kreuzgang abgerissen. Das Abbruchmaterial verwendet man für die Stallungen.;danach wurde es an das militaer verpachtet das aus dem stift ein pferde gestuet machte wurde der kreuzgang abgerissen das abbruchmaterial verwendet man fuer die stallungen;18.208942651748657;12.26
2015-01-27-14-31-00;0.0;Ich hatte Glück, dass ich Praktika in renommierten Häusern bekommen habe;ich hatte glueck dass ich praktika in renommierten haeusern bekommen habe;Ich hatte Glück, dass ich Praktika in renommierten Häusern bekommen habe.;ich hatte glueck dass ich praktika in renommierten haeusern bekommen habe;13.064699649810791;4.97
2015-02-10-11-45-11;0.0;Letzten Endes liegt die Antwort auf diese sehr schwierige und provokative Situation im Dialog.;letzten endes liegt die antwort auf diese sehr schwierige und provokative situation im dialog;letzten Endes liegt die Antwort auf diese sehr schwierige und provokative Situation im Dialog.;letzten endes liegt die antwort auf diese sehr schwierige und provokative situation im dialog;13.17509150505066;5.88
2015-01-27-12-41-56;0.45454545454545453;Das Gefälle zwischen Adams Lake und Shuswap Lake beträgt 60 m .;das gefaelle zwischen adams lake und shuswap lake betraegt 60 m;Das Gefälle zwischen Adam s Lake und Susy Blake beträgt 60 Meter.;das gefaelle zwischen adam s lake und susy blake betraegt 60 meter;13.055707216262817;6.85
2015-02-10-14-28-41;0.16666666666666666;Das neue Protokoll zur Festlegung der Thunfischfangmöglichkeiten zwischen der Gemeinschaft und den Komoren für die Zeit vom 1. Januar 2005 bis 31. Dezember 2010 hat für die Mitgliedstaaten mit Fangflotten eine Reihe von Fragen hinsichtlich seiner Realisierbarkeit aufgeworfen.;das neue protokoll zur festlegung der thunfischfangmoeglichkeiten zwischen der gemeinschaft und den komoren fuer die zeit vom 1 januar 2005 bis 31 dezember 2010 hat fuer die mitgliedstaaten mit fangflotten eine reihe von fragen hinsichtlich seiner realisierbarkeit aufgeworfen;Das neue Protokoll zur Festlegung der Thunfisch Fangmöglichkeiten zwischen der Gemeinschaft und den Komoren für die Zeit vom Januar 2005 bis zum Dezember 2010 hat für die Mitgliedsstaaten mit Fangflotten eine Reihe von Fragen hinsichtlich seiner Realisierbarkeit aufgeworfen.;das neue protokoll zur festlegung der thunfisch fangmoeglichkeiten zwischen der gemeinschaft und den komoren fuer die zeit vom januar 2005 bis zum dezember 2010 hat fuer die mitgliedsstaaten mit fangflotten eine reihe von fragen hinsichtlich seiner realisierbarkeit aufgeworfen;18.49930763244629;19.25
2015-02-10-12-38-43;0.06;Sehr geehrter Herr Präsident, sehr geehrter Herr Kommissar, ich freue mich, dass wir heute zu diesem wichtigen Thema eine Aussprache führen können. Wir haben ja demnächst den Frühjahrsgipfel, in dem wir nach drei Jahren erneut darüber nachdenken werden, wie Europa zur wettbewerbsfähigsten und zur innovativsten Region in der Welt wird.;sehr geehrter herr praesident sehr geehrter herr kommissar ich freue mich dass wir heute zu diesem wichtigen thema eine aussprache fuehren koennen wir haben ja demnaechst den fruehjahrsgipfel in dem wir nach 3 jahren erneut darueber nachdenken werden wie europa zur wettbewerbsfaehigsten und zur innovativsten region in der welt wird;sehr geehrter Herr Präsident, sehr geehrter Herr Kommissar, ich freue mich, dass wir heute zu diesem wichtigen Thema eine Aussprache führen können. Wir haben ja demnächst den Frühjahrsgipfel, in dem wir nach drei Jahren erneut darüber nachdenken werden, wie Europa zu wettbewerbsfähigsten und innovativsten Regionen in der Welt wird.;sehr geehrter herr praesident sehr geehrter herr kommissar ich freue mich dass wir heute zu diesem wichtigen thema eine aussprache fuehren koennen wir haben ja demnaechst den fruehjahrsgipfel in dem wir nach 3 jahren erneut darueber nachdenken werden wie europa zu wettbewerbsfaehigsten und innovativsten regionen in der welt wird;18.422924041748047;18.36
2015-01-27-13-39-50;0.0;Zweitens wurde das Projekt in vielen Ländern als noch ein weiterer Versuch aufgefasst, ein Europa der zwei Geschwindigkeiten zu schaffen, dessen innerster Kern aus den wirtschaftlich wettbewerbsfähigsten Ländern besteht.;zweitens wurde das projekt in vielen laendern als noch ein weiterer versuch aufgefasst ein europa der 2 geschwindigkeiten zu schaffen dessen innerster kern aus den wirtschaftlich wettbewerbsfaehigsten laendern besteht;Zweitens wurde das Projekt in vielen Ländern als noch ein weiterer Versuch aufgefasst, ein Europa der zwei Geschwindigkeiten zu schaffen, dessen innerster Kern aus den wirtschaftlich wettbewerbsfähigsten Ländern besteht.;zweitens wurde das projekt in vielen laendern als noch ein weiterer versuch aufgefasst ein europa der 2 geschwindigkeiten zu schaffen dessen innerster kern aus den wirtschaftlich wettbewerbsfaehigsten laendern besteht;18.429664134979248;11.92
2015-02-09-12-40-54;0.0;Zudem verkehren die meisten Züge sehr unregelmäßig und bei einigen Strecken herrscht Unklarheit , ob und in welchem Maße sie noch betrieben werden .;zudem verkehren die meisten zuege sehr unregelmaessig und bei einigen strecken herrscht unklarheit ob und in welchem masse sie noch betrieben werden;Zudem verkehren die meisten Züge sehr unregelmäßig, und bei einigen Strecken herrscht Unklarheit, ob und in welchem Masse sie noch betrieben werden.;zudem verkehren die meisten zuege sehr unregelmaessig und bei einigen strecken herrscht unklarheit ob und in welchem masse sie noch betrieben werden;18.288013219833374;9.299688
2015-02-04-14-07-15;0.0;Viele von uns haben nach diesen Abstimmungen ihre Enttäuschung und ihr Bedauern geäußert.;viele von uns haben nach diesen abstimmungen ihre enttaeuschung und ihr bedauern geaeussert;Viele von uns haben nach diesen Abstimmungen ihre Enttäuschung und ihr Bedauern geäußert.;viele von uns haben nach diesen abstimmungen ihre enttaeuschung und ihr bedauern geaeussert;13.187963724136353;5.73
2015-01-27-13-35-52;0.08108108108108109;AIDS stellt eine enorme Gefahr für die Gesundheit weltweit dar, die mit der besseren Behandlung der Erkrankten merkwürdigerweise noch zunimmt, da die Überlebensraten der Betroffenen dank besserer Behandlungsmöglichkeiten steigen und damit auch der Infektionspool immer größer wird.;aids stellt eine enorme gefahr fuer die gesundheit weltweit dar die mit der besseren behandlung der erkrankten merkwuerdigerweise noch zunimmt da die ueberlebensraten der betroffenen dank besserer behandlungsmoeglichkeiten steigen und damit auch der infektionspool immer groesser wird;stellt eine enorme Gefahr für die Gesundheit weltweit dar, die mit der besseren Behandlung der Erkrankten merkwürdigerweise noch zunimmt, da die Überlebensraten der Betroffenen dank besserer Behandlungsmöglichkeiten steigen und damit auch der Infektions Pool immer größer wird.;stellt eine enorme gefahr fuer die gesundheit weltweit dar die mit der besseren behandlung der erkrankten merkwuerdigerweise noch zunimmt da die ueberlebensraten der betroffenen dank besserer behandlungsmoeglichkeiten steigen und damit auch der infektions pool immer groesser wird;18.340269565582275;15.98
2015-01-27-13-44-17;0.2;Sie brachten von dort einige Ableger des Bodhibaumes mit , welcher von dem ursprünglichen Baum im heutigen Bodhgaya stammt , unter dem der Buddha seine Erleuchtung erfuhr .;sie brachten von dort einige ableger des bodhibaumes mit welcher von dem urspruenglichen baum im heutigen bodhgaya stammt unter dem der buddha seine erleuchtung erfuhr;Sie brachten von dort einige Ableger des Bodi BamS mit, welcher von dem ursprünglichen Baum im heutigen Boda Gaya stammt, unter dem der Buddha seiner Erleuchtung erfuhr.;sie brachten von dort einige ableger des bodi bams mit welcher von dem urspruenglichen baum im heutigen boda gaya stammt unter dem der buddha seiner erleuchtung erfuhr;18.15005874633789;11.26
2015-01-27-14-36-34;0.0967741935483871;Auch ich möchte als Allererstes dem Berichterstatter Pedro Marset Campos danken. In diesem Bericht wurden wirklich die entscheidenden Schlussfolgerungen aus der Arbeit dieses Parlaments in den letzten Jahren sehr gut zusammengefasst.;auch ich moechte als allererstes dem berichterstatter pedro marset campos danken in diesem bericht wurden wirklich die entscheidenden schlussfolgerungen aus der arbeit dieses parlaments in den letzten jahren sehr gut zusammengefasst;auch ich möchte als Allererstes dem Berichterstatter Petro Marit Campers danken. In diesem Bericht wurden wirklich die entscheidenden Schlussfolgerungen aus der Arbeit dieses Parlaments in den letzten Jahren sehr gut zusammengefasst.;auch ich moechte als allererstes dem berichterstatter petro marit campers danken in diesem bericht wurden wirklich die entscheidenden schlussfolgerungen aus der arbeit dieses parlaments in den letzten jahren sehr gut zusammengefasst;18.267579078674316;14.16
2015-02-03-13-02-57;0.18181818181818182;Vom Licht des Monitors angezogen , fliegt es durch die Lüftungsschlitze in den Flachbildschirm hinein und befindet sich dann hinter Panelglas und Diffusorfolie .;vom licht des monitors angezogen fliegt es durch die lueftungsschlitze in den flachbildschirm hinein und befindet sich dann hinter panelglas und diffusorfolie;vom Licht des Monitors angezogen, fliegt es durch die Lüftungsschlitze in den Flachbildschirm hinein und befindet sich dann hinter Panel, Glas und Diffusor Folie.;vom licht des monitors angezogen fliegt es durch die lueftungsschlitze in den flachbildschirm hinein und befindet sich dann hinter panel glas und diffusor folie;13.17432713508606;8.27
2015-02-10-14-29-03;0.42105263157894735;Das Aktienkapital beträgt rund 9,72 Millionen Schweizer Franken und gliedert sich seit 1995 in 97'238 Inhaberaktien à 100 Franken .;das aktienkapital betraegt rund 972 1000000 schweizer franken und gliedert sich seit 1995 in 97238 inhaberaktien à 100 franken;Das Aktienkapital beträgt rund zwei Millionen Schweizer Franken. Und Glieder gliedert sich seit in Inhaberaktien Frank.;das aktienkapital betraegt rund 2000000 schweizer franken und glieder gliedert sich seit in inhaberaktien frank;18.334283351898193;16.36
2015-02-10-12-46-56;0.07692307692307693;Mit der Wahl von Prof. Lenzen hat die Universität eine hervorragende Entscheidung getroffen.;mit der wahl von prof lenzen hat die universitaet eine hervorragende entscheidung getroffen;Mit der Wahl von Professor Lenzen hat die Universität eine hervorragende Entscheidung getroffen.;mit der wahl von professor lenzen hat die universitaet eine hervorragende entscheidung getroffen;18.249094247817993;6.38
2015-02-09-12-46-57;0.0;Zwischen dem Grafen und dem Erzbischof entstand eine heftige Fehde , die zum Teil in der Gegend von Attendorn ausgetragen wurde .;zwischen dem grafen und dem erzbischof entstand eine heftige fehde die zum teil in der gegend von attendorn ausgetragen wurde;Zwischen dem Grafen und dem Erzbischof entstand eine heftige Fehde, die zum Teil in der Gegend von Attendorn ausgetragen wurde.;zwischen dem grafen und dem erzbischof entstand eine heftige fehde die zum teil in der gegend von attendorn ausgetragen wurde;13.218881845474243;7.979688
2015-01-27-14-43-00;0.08333333333333333;Ende der 80er Jahre erarbeitete die Kommission einen Plan, nach dem sich die damalige EG zu einem Bundesstaat vereinigen sollte und die anderen europäischen Staaten über Regelungen über den Europäischen Wirtschaftsraum Zugang zum Binnenmarkt erhalten sollten.;ende der 80er jahre erarbeitete die kommission einen plan nach dem sich die damalige eg zu einem bundesstaat vereinigen sollte und die anderen europaeischen staaten ueber regelungen ueber den europaeischen wirtschaftsraum zugang zum binnenmarkt erhalten sollten;Ende der achtziger Jahre erarbeitete die Kommission einen Plan, nachdem sich die damalige EG zu einem Bundesstaat vereinigen sollte und die anderen europäischen Staaten über Regelungen über den europäischen Wirtschaftsraum Zugang zum Binnenmarkt erhalten sollten.;ende der achtziger jahre erarbeitete die kommission einen plan nachdem sich die damalige eg zu einem bundesstaat vereinigen sollte und die anderen europaeischen staaten ueber regelungen ueber den europaeischen wirtschaftsraum zugang zum binnenmarkt erhalten sollten;18.391055583953857;15.99
2015-01-27-13-39-05;0.0;Deshalb ist die Idee einer dezentralisierten Zusammenarbeit eine gute Lösung.;deshalb ist die idee einer dezentralisierten zusammenarbeit eine gute loesung;Deshalb ist die Idee einer dezentralisierten Zusammenarbeit eine gute Lösung.;deshalb ist die idee einer dezentralisierten zusammenarbeit eine gute loesung;12.962970733642578;5.34
2015-02-04-14-11-27;0.0;Endlich kommen alle pharmazeutischen Institute unter einem Dach zusammen.;endlich kommen alle pharmazeutischen institute unter einem dach zusammen;Endlich kommen alle pharmazeutischen Institute unter einem Dach zusammen.;endlich kommen alle pharmazeutischen institute unter einem dach zusammen;13.05904221534729;5.099688
2015-02-03-13-08-20;0.17647058823529413;Die Strecken der NYC verliefen , soweit möglich , in Flusstälern , so dass kaum größere Geländeschwierigkeiten überwunden werden mussten .;die strecken der nyc verliefen soweit moeglich in flusstaelern so dass kaum groessere gelaendeschwierigkeiten ueberwunden werden mussten;Die Strecken der Nui verliefen soweit möglich in Flusstälern, so dass kaum größere Gelände schwierigeren überwunden werden mussten.;die strecken der nui verliefen soweit moeglich in flusstaelern so dass kaum groessere gelaende schwierigeren ueberwunden werden mussten;18.23058819770813;10.14
2015-02-10-11-32-05;0.030303030303030304;Der Teilabschnitt der A 96 bis zur künftigen nördlichen Tunneleinfahrt stellt das Baulos A dar . Östlich der bestehenden Brücke über die A 96 wird zusätzlich eine Brücke für die Fahrbahn Richtung Autobahn errichtete .;der teilabschnitt der a 96 bis zur kuenftigen noerdlichen tunneleinfahrt stellt das baulos a dar oestlich der bestehenden bruecke ueber die a 96 wird zusaetzlich eine bruecke fuer die fahrbahn richtung autobahn errichtete;Der Teilabschnitt der A 96 bis zur künftigen nördlichen Tunneleinfahrt stellt das Baulos A dar. Östlich der bestehenden Brücke über die A 96 wird zusätzlich eine Brücke für die Fahrbahn Richtung Autobahn errichtet.;der teilabschnitt der a 96 bis zur kuenftigen noerdlichen tunneleinfahrt stellt das baulos a dar oestlich der bestehenden bruecke ueber die a 96 wird zusaetzlich eine bruecke fuer die fahrbahn richtung autobahn errichtet;18.342712879180908;14.15
2015-02-03-12-18-22;0.0;Die 1.000 Unterschriften junger Menschen aus OÖ sind für mich ein klares Zeichen für den Willen zur gemeinsamen Zukunftsgestaltung.;die 1000 unterschriften junger menschen aus ooe sind fuer mich ein klares zeichen fuer den willen zur gemeinsamen zukunftsgestaltung;die 1000 Unterschriften junger Menschen aus OÖ sind für mich ein klares Zeichen für den Willen zur gemeinsamen Zukunftsgestaltung.;die 1000 unterschriften junger menschen aus ooe sind fuer mich ein klares zeichen fuer den willen zur gemeinsamen zukunftsgestaltung;18.18416476249695;8.149688
2015-01-27-14-29-49;0.15384615384615385;Die letzte Ausgabe erschien am 18 . Die politische Tendenz war unabhängig und rechtsgerichtet .;die letzte ausgabe erschien am 18 die politische tendenz war unabhaengig und rechtsgerichtet;Die letzte Ausgabe erschien am 18., die politische Tendenz war unabhängig und rechts gerichtet.;die letzte ausgabe erschien am 18 die politische tendenz war unabhaengig und rechts gerichtet;18.403408765792847;8.41
2015-02-10-12-42-07;0.14285714285714285;Sitz des Unternehmens ist Aberdeen in Schottland .;sitz des unternehmens ist aberdeen in schottland;Sitz des Unternehmens in Aberdeen in Schottland.;sitz des unternehmens in aberdeen in schottland;12.982555150985718;4.27
2015-02-10-11-46-12;0.0;Herr Präsident, lassen Sie uns zunächst festhalten, dass die drei heute abend erörterten Berichte nur wenige Berührungspunkte haben. Dennoch ist es eine interessante Aussprache geworden, weil wir feststellen können, dass wir in Europa die Verkehrsnetze und ihr eigentliches Funktionieren doch allmählich differenzierter betrachten.;herr praesident lassen sie uns zunaechst festhalten dass die 3 heute abend eroerterten berichte nur wenige beruehrungspunkte haben dennoch ist es eine interessante aussprache geworden weil wir feststellen koennen dass wir in europa die verkehrsnetze und ihr eigentliches funktionieren doch allmaehlich differenzierter betrachten;Herr Präsident, lassen Sie uns zunächst festhalten, dass die drei heute Abend erörterten Berichte nur wenige Berührungspunkte haben. Dennoch ist es eine interessante Aussprache geworden, weil wir feststellen können, dass wir in Europa die Verkehrsnetze und ihr eigentliches Funktionieren doch allmählich differenzierter betrachten.;herr praesident lassen sie uns zunaechst festhalten dass die 3 heute abend eroerterten berichte nur wenige beruehrungspunkte haben dennoch ist es eine interessante aussprache geworden weil wir feststellen koennen dass wir in europa die verkehrsnetze und ihr eigentliches funktionieren doch allmaehlich differenzierter betrachten;18.401299953460693;16.62
2015-02-09-12-43-03;0.0625;Herr Meiers außergewöhnlich gesellige Art“ zum Beispiel ist der diskrete, aber unmissverständliche Hinweis auf sein Alkoholproblem.;herr meiers aussergewoehnlich gesellige art zum beispiel ist der diskrete aber unmissverstaendliche hinweis auf sein alkoholproblem;Herr Meyers Außergewöhnlich gesellige Art zum Beispiel ist der diskrete, aber unmissverständliche Hinweis auf sein Alkoholproblem.;herr meyers aussergewoehnlich gesellige art zum beispiel ist der diskrete aber unmissverstaendliche hinweis auf sein alkoholproblem;18.192566871643066;8.279688
