filename;wer;ground_truth;truthReduced;hypothesis;hypothesisReduced;time;audio_length
2015-02-04-14-03-58;0.09090909090909091;Mit dem vorliegenden Vorschlag soll Abhilfe geschaffen werden, indem ein gemeinsamer Rahmen für die Erstellung, Übermittlung und Bewertung vergleichbarer Arbeitskostenindizes geschaffen wird.;mit dem vorliegenden vorschlag soll abhilfe geschaffen werden indem ein gemeinsamer rahmen fuer die erstellung uebermittlung und bewertung vergleichbarer arbeitskostenindizes geschaffen wird;mit dem vorliegenden Vorschlag soll Abhilfe geschaffen werden indem ein gemeinsamer Rahmen für die Erstellung Übermittlung und Bewertung vergleichbarer Arbeitskosten Indizes geschaffen wird ;mit dem vorliegenden vorschlag soll abhilfe geschaffen werden indem ein gemeinsamer rahmen fuer die erstellung uebermittlung und bewertung vergleichbarer arbeitskosten indizes geschaffen wird;2.516120672225952;10.77
2015-01-27-14-40-40;0.2;Die Kommission prüft sehr sorgfältig die Situation in jedem Mitgliedstaat, um festzustellen, welche Kontrollmaßnahmen als unberechtigt und unangemessen gelten könnten.;die kommission prueft sehr sorgfaeltig die situation in jedem mitgliedstaat um festzustellen welche kontrollmassnahmen als unberechtigt und unangemessen gelten koennten;die Kommission prüft sehr sorgfältig die Situation in jedem Mitgliedstaat und festzustellen welche Kontrollen Maßnahmen als unberechtigt und unangemessen Geld könnten ;die kommission prueft sehr sorgfaeltig die situation in jedem mitgliedstaat und festzustellen welche kontrollen massnahmen als unberechtigt und unangemessen geld koennten;1.9443387985229492;10.05
2015-02-10-12-34-17;0.23809523809523808;Die Plattner schmiedeten die für die Herstellung eines Harnisches nötigen Stahlplatten in der Regel nicht selbst , sondern kauften sie von Großschmieden .;die plattner schmiedeten die fuer die herstellung eines harnisches noetigen stahlplatten in der regel nicht selbst sondern kauften sie von grossschmieden;die Plattner schmieden die für die Herstellung eines panisches nötigen Stahlplatten in der Regel nicht selbst sondern kaufen Sie von Groß schmieden ;die plattner schmieden die fuer die herstellung eines panisches noetigen stahlplatten in der regel nicht selbst sondern kaufen sie von gross schmieden;1.7784068584442139;9.52
2015-01-27-13-36-10;0.125;Das hochmoderne Gebäude vergrößert die Bibliothek bis direkt an die Semmelweissstraße und schafft zusätzlich benötigten Platz .;das hochmoderne gebaeude vergroessert die bibliothek bis direkt an die semmelweissstrasse und schafft zusaetzlich benoetigten platz;das hochmoderne Gebäude vergrößert die Bibliothek bis direkt an die Semmelweisstraße und schafft zusätzlich benötigen Platz ;das hochmoderne gebaeude vergroessert die bibliothek bis direkt an die semmelweisstrasse und schafft zusaetzlich benoetigen platz;1.8471519947052002;9.07
2015-02-04-14-14-17;0.0625;Sie glaubten , der Kopf der Tiere sitze lose am Körper , weil sie diesen scheinbar 360 Grad drehen können , und fürchteten , wenn sie den Namen der Tiere aussprechen , drohe ihnen das gleiche Schicksal .;sie glaubten der kopf der tiere sitze lose am koerper weil sie diesen scheinbar 360 grad drehen koennen und fuerchteten wenn sie den namen der tiere aussprechen drohe ihnen das gleiche schicksal;sie glaubten der Kopf der Tiere Sitze lose am Körper weil sie diesen scheinbar 360° drehen können und fürchteten wenn Sie den Namen der Tiere aussprechen drohe ihnen das gleiche Schicksal ;sie glaubten der kopf der tiere sitze lose am koerper weil sie diesen scheinbar 360° drehen koennen und fuerchteten wenn sie den namen der tiere aussprechen drohe ihnen das gleiche schicksal;2.3208537101745605;12.44
2015-02-03-13-00-15;0.14285714285714285;Da längere Patronen eine größere Treibladung aufnehmen , haben diese in der Regel eine höhere Energie und damit eine höhere zielballistische Wirkung .;da laengere patronen eine groessere treibladung aufnehmen haben diese in der regel eine hoehere energie und damit eine hoehere zielballistische wirkung;der längere Patronen eine größere Treibladung aufnehmen haben diese in der Regel eine höhere Energie und damit eine höhere ziehe ballistische Wirkung ;der laengere patronen eine groessere treibladung aufnehmen haben diese in der regel eine hoehere energie und damit eine hoehere ziehe ballistische wirkung;2.1556572914123535;11.04
2015-02-10-12-35-31;0.2222222222222222;Wann werden wir die Vorurteile bezüglich der Hautfarbe überwinden?;wann werden wir die vorurteile bezueglich der hautfarbe ueberwinden;wann werden wir die Vorteile bezüglich der Hauptbahn überwinden ;wann werden wir die vorteile bezueglich der hauptbahn ueberwinden;1.0423872470855713;5.12
2015-02-10-11-40-56;0.14285714285714285;An Engstellen wird der Weg in steilen Kehren und als Fußpfad über Felsen geführt .;an engstellen wird der weg in steilen kehren und als fusspfad ueber felsen gefuehrt;an Engstellen wird der Weg im steilen Kehren und als Fußbad über Felsen geführt ;an engstellen wird der weg im steilen kehren und als fussbad ueber felsen gefuehrt;1.211181402206421;5.72
2015-01-27-13-49-51;0.19230769230769232;Danach wurde es an das Militär verpachtet , das aus dem Stift ein Pferdegestüt machte . 1816 wurde der Kreuzgang abgerissen , das Abbruchmaterial verwendete man für die Stallungen .;danach wurde es an das militaer verpachtet das aus dem stift ein pferdegestuet machte 1816 wurde der kreuzgang abgerissen das abbruchmaterial verwendete man fuer die stallungen;danach wurde es anders Media verpachtet das auch dem Stift ein Pferdegestüt machte 18.16 wurde der Kreuzgang abgerissen das Abbruchmaterial verwendet man für die Stallungen ;danach wurde es anders media verpachtet das auch dem stift ein pferdegestuet machte 1816 wurde der kreuzgang abgerissen das abbruchmaterial verwendet man fuer die stallungen;2.243723154067993;12.26
2015-01-27-14-31-00;0.36363636363636365;Ich hatte Glück, dass ich Praktika in renommierten Häusern bekommen habe;ich hatte glueck dass ich praktika in renommierten haeusern bekommen habe;ja Glück dass ich Praktika in Hannover ihren Häusern bekommen habe ;ja glueck dass ich praktika in hannover ihren haeusern bekommen habe;1.1608233451843262;4.97
