filename;wer;ground_truth;truthReduced;hypothesis;hypothesisReduced;time;audio_length
2015-02-03-12-05-09;0.0;Wie sich anlässlich der Bewertung im Dezember 2003 gezeigt hat, besteht kein Grund zur Ausdehnung der Zielgruppe auf Polizisten der unteren Dienstgrade und weitere Angehörige der Strafverfolgungsbehörden.;wie sich anlaesslich der bewertung im dezember 2003 gezeigt hat besteht kein grund zur ausdehnung der zielgruppe auf polizisten der unteren dienstgrade und weitere angehoerige der strafverfolgungsbehoerden; Wie sich anlässlich der Bewertung im Dezember 2003 gezeigt hat, besteht kein Grund zur Ausdehnung der Zielgruppe auf Polizisten, der unteren Dienstgrade und weitere Angehörige der Strafverfolgungsbehörden.;wie sich anlaesslich der bewertung im dezember 2003 gezeigt hat besteht kein grund zur ausdehnung der zielgruppe auf polizisten der unteren dienstgrade und weitere angehoerige der strafverfolgungsbehoerden;1.504176139831543;12.27
2015-02-10-11-46-12;0.0;Herr Präsident, lassen Sie uns zunächst festhalten, dass die drei heute abend erörterten Berichte nur wenige Berührungspunkte haben. Dennoch ist es eine interessante Aussprache geworden, weil wir feststellen können, dass wir in Europa die Verkehrsnetze und ihr eigentliches Funktionieren doch allmählich differenzierter betrachten.;herr praesident lassen sie uns zunaechst festhalten dass die 3 heute abend eroerterten berichte nur wenige beruehrungspunkte haben dennoch ist es eine interessante aussprache geworden weil wir feststellen koennen dass wir in europa die verkehrsnetze und ihr eigentliches funktionieren doch allmaehlich differenzierter betrachten; Herr Präsident, lassen Sie uns zunächst festhalten, dass die drei heute Abend erörterten Berichte nur wenige Berührungspunkte haben. Dennoch ist es eine interessante Aussprache geworden, weil wir feststellen können, dass wir in Europa die Verkehrsnetze und ihr eigentliches Funktionieren doch allmählich differenzierter betrachten.;herr praesident lassen sie uns zunaechst festhalten dass die 3 heute abend eroerterten berichte nur wenige beruehrungspunkte haben dennoch ist es eine interessante aussprache geworden weil wir feststellen koennen dass wir in europa die verkehrsnetze und ihr eigentliches funktionieren doch allmaehlich differenzierter betrachten;2.148684501647949;16.62
2015-01-27-13-37-03;0.0625;Es steht ja auch der Bericht des Abgeordneten Cappato zur Aussprache, den ich bei dieser Gelegenheit zu seinem Dokument über die Verarbeitung personenbezogener Daten und den Schutz der Privatsphäre im Telekommunikationsbereich beglückwünsche.;es steht ja auch der bericht des abgeordneten cappato zur aussprache den ich bei dieser gelegenheit zu seinem dokument ueber die verarbeitung personenbezogener daten und den schutz der privatsphaere im telekommunikationsbereich beglueckwuensche; Es steht ja auch der Bericht des Abgeordneten Carpato zur Aussprache, den ich bei dieser Gelegenheit zu seinem Dokument über die Verarbeitung personenbezogener Daten und den Schutz der Privatsphäre im Telekommunikationsbereich beglückwünschen.;es steht ja auch der bericht des abgeordneten carpato zur aussprache den ich bei dieser gelegenheit zu seinem dokument ueber die verarbeitung personenbezogener daten und den schutz der privatsphaere im telekommunikationsbereich beglueckwuenschen;1.579237461090088;13.48
2015-01-27-13-43-48;0.08333333333333333;Sie schlug in eine offene Rebellion um , als Mitte Februar Preußen eine deutliche Wendung gegen Frankreich vollzog und russische Reiterverbände über die Oder ausschwärmten .;sie schlug in eine offene rebellion um als mitte februar preussen eine deutliche wendung gegen frankreich vollzog und russische reiterverbaende ueber die oder ausschwaermten; Sie schlugen in eine offene Rebellion um, als Mitte Februar Preußen eine deutliche Wendung gegen Frankreich vollzog und russische Reiterverbände über die Order ausschwärmten.;sie schlugen in eine offene rebellion um als mitte februar preussen eine deutliche wendung gegen frankreich vollzog und russische reiterverbaende ueber die order ausschwaermten;1.3422207832336426;10.94
2015-02-09-12-15-57;0.034482758620689655;Bedeutung als Schifffahrtsroute gewann das Nordmeer vor allem durch den Ausbau der russischen beziehungsweise sowjetischen Kriegsmarine an der Barentssee und der besseren Einbindung der Häfen dort an das Hinterland .;bedeutung als schifffahrtsroute gewann das nordmeer vor allem durch den ausbau der russischen beziehungsweise sowjetischen kriegsmarine an der barentssee und der besseren einbindung der haefen dort an das hinterland; Bedeutung als Schifffahrtsroute gewann das Nordmeer vor allem durch den Ausbau der russischen beziehungsweise sowjetischen Kriegsmarine an der Barancee und der besseren Einbindung der Häfen dort an das Hinterland.;bedeutung als schifffahrtsroute gewann das nordmeer vor allem durch den ausbau der russischen beziehungsweise sowjetischen kriegsmarine an der barancee und der besseren einbindung der haefen dort an das hinterland;1.705430030822754;15.849688
2015-02-10-14-29-48;0.045454545454545456;Io begleitet die Mannen , die Perseus mit Pegasus , einem fliegenden schwarzen Pferd vertraut macht , auf dem noch nie ein Mensch geritten ist .;io begleitet die mannen die perseus mit pegasus einem fliegenden schwarzen pferd vertraut macht auf dem noch nie ein mensch geritten ist; Io begleitet die Mannen die Perseus und Pegasus, einem fliegenden schwarzen Pferd vertraut macht, auf dem noch nie ein Mensch geritten ist.;io begleitet die mannen die perseus und pegasus einem fliegenden schwarzen pferd vertraut macht auf dem noch nie ein mensch geritten ist;1.063236951828003;12.16
2015-02-03-12-15-42;0.125;Auf kurzfristigen Einsatzbedarf muss besser reagiert werden können .;auf kurzfristigen einsatzbedarf muss besser reagiert werden koennen; Auf kurzfristigen Ansatzbedarf muss besser reagiert werden können.;auf kurzfristigen ansatzbedarf muss besser reagiert werden koennen;0.8970820903778076;4.699688
2015-02-09-12-09-22;0.0;Das Recht aller Bürger, ihren Glauben frei zum Ausdruck zu bringen, ist in jeder demokratischen Gesellschaft von grundlegender Bedeutung.;das recht aller buerger ihren glauben frei zum ausdruck zu bringen ist in jeder demokratischen gesellschaft von grundlegender bedeutung; Das Recht aller Bürger ihren Glauben frei zum Ausdruck zu bringen, ist in jeder demokratischen Gesellschaft von grundlegender Bedeutung.;das recht aller buerger ihren glauben frei zum ausdruck zu bringen ist in jeder demokratischen gesellschaft von grundlegender bedeutung;1.2215907573699951;8.319688
2015-02-04-14-12-05;0.0625;Dazu gehört, die Mittagshitze bei Freiluftaktivitäten zu meiden und das Sonnenverhalten nach dem Hauttyp zu richten;dazu gehoert die mittagshitze bei freiluftaktivitaeten zu meiden und das sonnenverhalten nach dem hauttyp zu richten; Dazu gehört die Mittagshitze bei Freiludaktivitäten zu meiden und das Sonnenverhalten nach dem Hauttyp zu richten.;dazu gehoert die mittagshitze bei freiludaktivitaeten zu meiden und das sonnenverhalten nach dem hauttyp zu richten;1.040956974029541;7.37
2015-02-03-12-04-51;0.0;Und wie schwerwiegend ist die Pflicht der Zeitung !;und wie schwerwiegend ist die pflicht der zeitung; Und wie schwerwiegend ist die Pflicht der Zeitung?;und wie schwerwiegend ist die pflicht der zeitung;0.841059684753418;4.11
